k,model,seed,split,acc,macro_f1,f1_CancerEpi,f1_CAS,f1_NormalStroma,f1_NormalEpi
256,mlp,2,val,0.8262162162162162,0.8053807954970792,0.8676789587852495,0.8455056179775281,0.8115147361206305,0.6968238691049086
256,mlp,2,test,0.8985185185185185,0.8810623510129137,0.9397715472481828,0.8975871313672922,0.8604444444444445,0.8264462809917356
942,lda,0,val,0.7332432432432432,0.6949595492691355,0.753255895811334,0.8180129990714949,0.7928057553956834,0.41576354679802957
942,lda,0,test,0.8392592592592593,0.806924090585325,0.8624143384290985,0.8665955176093917,0.8626320845341018,0.6360544217687075
942,logreg,0,val,0.7951351351351351,0.7728179342357491,0.8462942679810149,0.8060836501901141,0.7831245880026367,0.6557692307692308
942,logreg,0,test,0.8792592592592593,0.8583159441653705,0.9361924686192469,0.8743828853538124,0.8307692307692308,0.7919191919191919
942,mlp,0,val,0.8264864864864865,0.8046736965881499,0.8691891891891892,0.8469817501169864,0.8107364074328974,0.6917874396135266
942,mlp,0,test,0.8948148148148148,0.8777103081612442,0.9425168306576903,0.8887688984881209,0.852112676056338,0.8274428274428275
942,mlp,1,val,0.8275675675675676,0.8054921114641531,0.8688760806916427,0.8494172494172494,0.8143547273982057,0.6893203883495146
942,mlp,1,test,0.8985185185185185,0.8822731877888219,0.9456802897051215,0.891644204851752,0.8556338028169014,0.8361344537815126
942,mlp,2,val,0.822972972972973,0.8014391266934366,0.865606936416185,0.8424497428705002,0.8085106382978723,0.6891891891891891
942,mlp,2,test,0.902962962962963,0.8880797350734577,0.9484536082474226,0.8955866523143164,0.8596646072374228,0.8486140724946695
