k,model,seed,split,acc,macro_f1,f1_Asphalt,f1_Meadows,f1_Gravel,f1_Trees,f1_PaintedMetal,f1_BareSoil,f1_Bitumen,f1_Bricks,f1_Shadows
32,logreg,0,test,0.8813797409083814,0.839370518344576,0.8901890189018902,0.9452483378959718,0.4756944444444444,0.9497435897435897,1.0,0.8292682926829268,0.632183908045977,0.8360556563823351,0.9959514170040485
32,mlp,0,val,0.9194750486066104,0.9099322372293555,0.9191729323308271,0.9483899426554918,0.8925081433224755,0.9625748502994012,1.0,0.7824175824175824,0.8743455497382199,0.814526588845655,0.9954545454545455
32,mlp,0,test,0.9286717652567504,0.887749093486724,0.9303350970017636,0.9811175337186898,0.5622641509433962,0.9679358717434869,1.0,0.9383815887156645,0.7507507507507507,0.8630054315027158,0.9959514170040485
32,mlp,1,val,0.9120220349967596,0.9027887248451769,0.9092636579572446,0.9428191489361702,0.8831725616291533,0.9602996254681648,1.0,0.7728740581270183,0.8538754764930114,0.8073394495412844,0.9954545454545455
32,mlp,1,test,0.9238333073201186,0.8814507504012745,0.9233511586452763,0.981081081081081,0.5533453887884268,0.967032967032967,1.0,0.9364844903988183,0.7226890756302521,0.8531211750305998,0.9959514170040485
32,mlp,2,val,0.9100777705767984,0.9029166073017263,0.9251510925151093,0.9318740227831137,0.8803418803418803,0.9567809239940388,1.0,0.7662337662337663,0.8945945945945946,0.7758186397984886,0.9954545454545455
32,mlp,2,test,0.9177462150772593,0.8780417797761897,0.9335083114610674,0.9746173222243751,0.5202702702702703,0.9658634538152611,0.9959183673469387,0.9231894659839064,0.7619047619047619,0.8311526479750779,0.9959514170040485
64,lda,0,val,0.7828904731043422,0.7840880946578133,0.7912408759124088,0.813030511585226,0.875268817204301,0.8774647887323944,1.0,0.32017075773745995,0.675609756097561,0.7175208581644815,0.9864864864864865
64,lda,0,test,0.8017793038863743,0.7618557643340469,0.8463661453541859,0.8851442959519659,0.3842364532019704,0.9120171673819742,1.0,0.6303284416491963,0.465,0.7456575682382134,0.9879518072289156
64,logreg,0,val,0.8222618276085548,0.8294904241868768,0.8516191396810053,0.8351803819853808,0.8744769874476988,0.9062276306370795,0.9908256880733946,0.49534450651769085,0.7388535031847133,0.7841726618705036,0.9887133182844243
64,logreg,0,test,0.8827844545028875,0.8403326727025896,0.8879892037786775,0.9473684210526315,0.48109965635738833,0.9529652351738241,1.0,0.8334494773519163,0.6260869565217392,0.8380836870830807,0.9959514170040485
64,mlp,0,val,0.9222294232015554,0.9117531167479327,0.9245810055865922,0.9515845070422535,0.8867102396514162,0.9630746043707611,1.0,0.7925356750823271,0.8803191489361702,0.8115183246073299,0.9954545454545455
64,mlp,0,test,0.9264866552208522,0.8844315021691878,0.9356110381077529,0.9793236714975846,0.5416666666666666,0.9629629629629629,1.0,0.9347028613352898,0.754601226993865,0.8550636749545178,0.9959514170040485
64,mlp,1,val,0.9116979909267661,0.9022503274717627,0.9176470588235294,0.94002665482008,0.8836206896551724,0.963855421686747,0.9981515711645101,0.7603833865814696,0.8678756476683938,0.7932379713914174,0.9954545454545455
64,mlp,1,test,0.9207117215545497,0.8795409816345026,0.9299645390070922,0.9783616692426584,0.5359019264448336,0.9659318637274549,1.0,0.9338235294117647,0.7401129943502824,0.835820895522388,0.9959514170040485
64,mlp,2,val,0.9178548282566429,0.9076584563254667,0.9262180974477958,0.9459698848538529,0.8753993610223643,0.9602400600150037,1.0,0.787746170678337,0.8949522510231923,0.7829457364341085,0.9954545454545455
64,mlp,2,test,0.9219603558607773,0.8834196678960348,0.9394862864606008,0.9789371980676328,0.5208681135225376,0.9639278557114228,1.0,0.9332355099046221,0.7906976744186046,0.8276729559748428,0.9959514170040485
103,lda,0,val,0.7833765392093325,0.7812736676238614,0.7837051406401552,0.8204659661946094,0.8759439050701187,0.8801128349788434,1.0,0.3188720173535792,0.6388206388206388,0.7270560190703218,0.9864864864864865
103,lda,0,test,0.7969408459497425,0.7590470968919242,0.851083448593822,0.8803680981595092,0.36688311688311687,0.9085037674919269,1.0,0.5900216919739696,0.5025125628140703,0.7440993788819876,0.9879518072289156
103,logreg,0,val,0.8225858716785482,0.8297654991700207,0.8506524891251812,0.8358490566037736,0.8763102725366876,0.9068767908309455,0.9908256880733946,0.4986046511627907,0.7363057324840764,0.7837514934289128,0.9887133182844243
103,logreg,0,test,0.8838770095208366,0.8414872156153466,0.8884892086330936,0.9486026968927106,0.4784853700516351,0.9550102249488752,1.0,0.8355493351994402,0.6337209302325582,0.8375757575757575,0.9959514170040485
103,mlp,0,val,0.9251458198314971,0.9154064169207383,0.9296296296296296,0.9522552255225523,0.8972375690607735,0.9622926093514329,1.0,0.7951807228915663,0.893048128342246,0.8135593220338984,0.9954545454545455
103,mlp,0,test,0.9303886374278133,0.8914806276858156,0.9385085041430441,0.9805432479291081,0.5643939393939394,0.962,1.0,0.9389880952380952,0.7823343848580442,0.8606060606060606,0.9959514170040485
103,mlp,1,val,0.9152624756966947,0.9053629123796791,0.9167058823529411,0.9448260580545091,0.8770053475935828,0.963855421686747,1.0,0.793859649122807,0.8723958333333334,0.7841634738186463,0.9954545454545455
103,mlp,1,test,0.9200874044014359,0.8797884518851764,0.9306230667255855,0.9797648872615148,0.5293132328308208,0.9619238476953907,1.0,0.9376854599406528,0.7558139534883721,0.827020202020202,0.9959514170040485
103,mlp,2,val,0.9215813350615684,0.9114000254139629,0.9272137227630969,0.9494592805120282,0.8772678762006404,0.9668174962292609,1.0,0.7912568306010929,0.8961748633879781,0.7989556135770235,0.9954545454545455
103,mlp,2,test,0.9213360387076635,0.8833125219701264,0.9377448846321289,0.978772674642995,0.519134775374376,0.9629629629629629,0.9959183673469387,0.9334319526627219,0.8,0.8258956631049654,0.9959514170040485
