experiment,loss,arm,M,q,C,N,s_w,s_b,s_v,rho,n_draws,metric,value
eq3_6,squared,,256,,,64,1.0,0.5,,0.5,20000,mc_ratio_EQ_over_half_lamSh,1.0022129276456273
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,rhs_theory_3_6,16.229047341289604
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,mean_lam_max_GWW,54.30025992812317
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,sem_lam_max_GWW,3.280500941352576
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,min_lam_max_GWW,0.3302748569666858
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_lam_over_rhs,3.345868601293286
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,frac_draws_lam_ge_rhs,0.805
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,mean_witness_curvature,15.275218232926255
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,sem_witness_curvature,1.6884864801382562
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_witness_over_rhs,0.9412270425795951
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,witness_closedform_max_abs_err,2.842170943040401e-14
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,autograd_vs_analytic_max_abs_err,0.0
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,20000,mc_mean_witness_curvature,16.320734972798448
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,20000,mc_ratio_mean_witness_over_rhs,1.0056496003481101
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,20000,mc_sem_ratio_witness_over_rhs,0.012661475341326165
eq3_6,squared,,256,4,1,64,1.0,0.5,1.0,0.5,200,dense_vs_gram_max_rel_err,1.28908568146706e-15
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,rhs_theory_3_6,4.057261835322401
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,mean_lam_max_GWW,50.704576366971104
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,sem_lam_max_GWW,1.85971791248027
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,min_lam_max_GWW,12.924904605526777
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_lam_over_rhs,12.497240361846645
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,frac_draws_lam_ge_rhs,1.0
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,mean_witness_curvature,4.285669286384286
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,sem_witness_curvature,0.4642598317026923
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_witness_over_rhs,1.056295960263983
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,witness_closedform_max_abs_err,1.0658141036401503e-14
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,autograd_vs_analytic_max_abs_err,0.0
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,20000,mc_mean_witness_curvature,4.075698400951695
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,20000,mc_ratio_mean_witness_over_rhs,1.0045440906644933
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,20000,mc_sem_ratio_witness_over_rhs,0.012925775545684482
eq3_6,squared,,256,16,1,64,1.0,0.5,1.0,0.5,200,dense_vs_gram_max_rel_err,2.3216178996323995e-15
features,,,1024,,,64,,,,0.5,,lam_max_Sh,520.6377788649523
features,,,1024,,,64,,,,0.5,,a0_emp_lam_Sh_over_M,0.508435330922805
features,,,1024,,,64,,,,0.5,,max_hn_sqnorm_over_M,1.0000000000000007
eq3_6,squared,,1024,,,64,1.0,0.5,,0.5,20000,mc_mean_Q,258.95887005582165
eq3_6,squared,,1024,,,64,1.0,0.5,,0.5,20000,mc_sem_Q,1.192895035182744
eq3_6,squared,,1024,,,64,1.0,0.5,,0.5,20000,mc_ratio_EQ_over_half_lamSh,0.994775564002983
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,rhs_theory_3_6,65.07972235811904
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,mean_lam_max_GWW,238.66473271660652
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,sem_lam_max_GWW,16.019787466462606
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,min_lam_max_GWW,1.6282308046925427
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_lam_over_rhs,3.6672672234722867
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,frac_draws_lam_ge_rhs,0.775
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,mean_witness_curvature,63.92874332166389
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,sem_witness_curvature,8.485091161452624
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_witness_over_rhs,0.9823143216542692
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,witness_closedform_max_abs_err,1.1368683772161603e-13
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,autograd_vs_analytic_max_abs_err,0.0
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,20000,mc_mean_witness_curvature,65.91653461734307
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,20000,mc_ratio_mean_witness_over_rhs,1.012858264124411
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,20000,mc_sem_ratio_witness_over_rhs,0.012939319355658788
eq3_6,squared,,1024,4,1,64,1.0,0.5,1.0,0.5,200,dense_vs_gram_max_rel_err,9.804738987092591e-16
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,rhs_theory_3_6,16.26993058952976
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,mean_lam_max_GWW,197.89844135938864
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,sem_lam_max_GWW,8.123242411822126
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,min_lam_max_GWW,38.51255181348763
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_lam_over_rhs,12.163447180699274
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,frac_draws_lam_ge_rhs,1.0
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,mean_witness_curvature,16.748323312095334
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,sem_witness_curvature,2.014747220004594
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,ratio_mean_witness_over_rhs,1.029403488842997
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,witness_closedform_max_abs_err,4.263256414560601e-14
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,200,autograd_vs_analytic_max_abs_err,0.0
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,20000,mc_mean_witness_curvature,16.302464682224127
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,20000,mc_ratio_mean_witness_over_rhs,1.00199964545118
eq3_6,squared,,1024,16,1,64,1.0,0.5,1.0,0.5,20000,mc_sem_ratio_witness_over_rhs,0.012938136952823451
eq3_6,squared,,,4,,64,,,,0.5,200,loglog_slope_mean_lam_vs_M_allM,1.0061849770340587
eq3_6,squared,,,4,,64,,,,0.5,200,loglog_slope_mean_lam_vs_M_Mge64,1.0018259356059276
eq3_6,squared,,,16,,64,,,,0.5,200,loglog_slope_mean_lam_vs_M_allM,0.9973721738023049
eq3_6,squared,,,16,,64,,,,0.5,200,loglog_slope_mean_lam_vs_M_Mge64,0.975108818709167
lemma3_1,ce,,16,4,4,64,1.0,0.5,1.0,0.5,200,mean_lam_max_Gphiphi,2.3050898170552374
