arch,M,seed,init_mode,C_f,C_g,lambda_theta_ggn,lambda_phi_ggn,D_curv
deep_mlp,256,44,default_fixedbias,1024,136450,0.00027202255127758664,20.046660265087084,73694.84688286149
deep_mlp,256,45,default_fixedbias,1024,136450,0.0003503029074199743,20.801262554686666,59380.78763859148
deep_mlp,256,46,default_fixedbias,1024,136450,0.0006369399608326726,19.71446435349775,30951.84093603579
deep_mlp,512,42,default_fixedbias,1024,535042,0.00046374990114360766,39.6279493620058,85451.12196096052
deep_mlp,512,43,default_fixedbias,1024,535042,0.0003849485317064322,40.27241315963806,104617.65623865384
deep_mlp,512,44,default_fixedbias,1024,535042,0.0007556519735944347,42.95645774431165,56846.88089938977
deep_mlp,512,45,default_fixedbias,1024,535042,0.0004084905325490866,41.85019502854547,102450.83225647711
deep_mlp,512,46,default_fixedbias,1024,535042,0.0007352632187354176,38.52121882741489,52391.05920960891
deep_mlp,1024,42,default_fixedbias,1024,2118658,0.0004849613468211182,46.139897075958196,95141.39091373247
deep_mlp,1024,43,default_fixedbias,1024,2118658,0.0005815897678718039,90.7029168905924,155956.8649608455
deep_mlp,1024,44,default_fixedbias,1024,2118658,0.0006024271216609968,66.39656343099385,110215.09663762635
deep_mlp,1024,45,default_fixedbias,1024,2118658,0.000725953791461902,79.87811681156641,110031.95761359752
deep_mlp,1024,46,default_fixedbias,1024,2118658,0.0007512428540793238,85.65751263133818,114021.06810894683
