condition,noise,seed,lambda_sd,egr_early,egr_mid,egr_late,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
joint,0.15,44,,0.2981722266348735,0.22539347467277648,0.1387473535954695,0.09512455399101355,0.20304767264385998,0.5629486083984375,0.6854248046875,0.12247619628906248,0.29734909906983376,0.8772749900817871
frozen,0.15,44,,,,,,,0.6100921630859375,0.682098388671875,0.0720062255859375,0.3518188502639532,0.7257969617843628
sd,0.15,44,0.001,0.29768315303903153,0.22498891104555258,0.13759572914544152,0.10161287751717364,0.1960702755218579,0.562884521484375,0.68536376953125,0.12247924804687504,0.2976423501968384,0.8703262805938721
sd,0.15,44,0.01,0.29447695784600453,0.21649216234969135,0.13414957048097714,0.0911079560834848,0.2033690017625197,0.5650238037109375,0.68487548828125,0.11985168457031248,0.3036038354039192,0.830756688117981
sd,0.15,44,0.1,0.24068637604245166,0.17098757050235808,0.12146096293361831,0.08329969626336856,0.1573866797790831,0.5749725341796875,0.686553955078125,0.11158142089843748,0.3587665315717459,0.7214957237243652
sd,0.15,44,1.0,0.12072014502616998,0.10955275888338314,0.10275030646772165,0.05881935739300766,0.06190078763316233,0.5662567138671875,0.681488037109375,0.11523132324218754,0.5270717032253742,0.6792765855789185
joint,0.15,45,,0.24627020137615982,0.19447437362203338,0.12079785109230283,0.06697054680893409,0.17929965456722574,0.5391998291015625,0.627166748046875,0.0879669189453125,0.31120190769433975,0.9697449982166291
frozen,0.15,45,,,,,,,0.495697021484375,0.524444580078125,0.02874755859375,0.3660872522741556,0.9146291136741638
sd,0.15,45,0.001,0.2456944197965065,0.19431073775247984,0.12149984209338413,0.06695620642971549,0.17873821336679102,0.5366790771484375,0.626678466796875,0.08999938964843746,0.31103539280593395,0.9693935692310334
sd,0.15,45,0.01,0.23984028857829634,0.18617600299575449,0.12007404812448037,0.06682686873279771,0.17301341984549862,0.5387054443359375,0.626068115234375,0.08736267089843752,0.31522070430219173,0.9154891550540925
sd,0.15,45,0.1,0.20525180441590637,0.1487068601320786,0.09888038688452848,0.06550645225255555,0.13974535216335082,0.54068603515625,0.624786376953125,0.08410034179687498,0.36278337985277176,0.7859055399894714
sd,0.15,45,1.0,0.10710586998625131,0.09821679913517431,0.08684853012883571,0.05169633329896627,0.05540953668728504,0.5382080078125,0.60162353515625,0.06341552734375,0.5289794355630875,0.6941458106040954
joint,0.15,46,,0.3033301481950929,0.22894465439390943,0.1477705396941762,0.08376204340795651,0.2195681047871364,0.5247894287109375,0.58819580078125,0.06340637207031252,0.3087310213595629,0.9504324316978454
frozen,0.15,46,,,,,,,0.3549835205078125,0.358428955078125,0.003445434570312489,0.35588758811354637,1.2848859190940858
sd,0.15,46,0.001,0.30268325905732657,0.22841644951677706,0.14714684827583419,0.08375518903856925,0.2189280700187573,0.5233612060546875,0.588470458984375,0.0651092529296875,0.30992523580789566,0.9458966374397277
sd,0.15,46,0.01,0.2971877247614838,0.21978726173569738,0.1466674534439127,0.08369305522762341,0.2134946695338604,0.52244873046875,0.587646484375,0.06519775390625004,0.31274318508803844,0.9201852440834045
