dataset,block,seed,batch,rank,eigenvalue
breast,theta,1,1,36,15.906010885985376
breast,theta,1,1,37,15.567039358362793
breast,theta,1,1,38,14.916350030836801
breast,theta,1,1,39,14.775569581522635
breast,theta,1,1,40,14.088095270527884
breast,phi,1,1,1,196.8862701315954
breast,phi,1,1,2,134.5532179168743
breast,phi,1,1,3,91.27851661636409
breast,phi,1,1,4,61.28967163824634
breast,phi,1,1,5,58.089560013745796
breast,phi,1,1,6,54.05042729471984
breast,phi,1,1,7,45.35809826615364
breast,phi,1,1,8,43.12651620642601
breast,phi,1,1,9,40.31486319912749
breast,phi,1,1,10,36.642438060485766
breast,phi,1,1,11,34.72665476199972
breast,phi,1,1,12,33.21909070761169
breast,phi,1,1,13,30.99525868144429
breast,phi,1,1,14,29.71234834713228
breast,phi,1,1,15,25.722771445110265
breast,theta,1,2,1,832.2102857206831
breast,theta,1,2,2,404.2536520256183
breast,theta,1,2,3,325.01806243205755
breast,theta,1,2,4,194.8322366585208
breast,theta,1,2,5,148.22331668857123
breast,theta,1,2,6,117.82627978242067
breast,theta,1,2,7,112.68585212947828
breast,theta,1,2,8,107.43202139454786
breast,theta,1,2,9,82.36732464357894
breast,theta,1,2,10,76.87616315383363
breast,theta,1,2,11,70.63725829809376
breast,theta,1,2,12,65.73802637220012
breast,theta,1,2,13,61.16530969811414
breast,theta,1,2,14,56.480328388797396
breast,theta,1,2,15,54.49037751192739
breast,theta,1,2,16,51.822266520496115
breast,theta,1,2,17,47.71411157444495
breast,theta,1,2,18,45.361840705622804
breast,theta,1,2,19,42.75085575061103
breast,theta,1,2,20,41.08625414278528
breast,theta,1,2,21,39.03346584828238
breast,theta,1,2,22,34.882111508735846
breast,theta,1,2,23,33.6665361006901
breast,theta,1,2,24,30.884641186909118
breast,theta,1,2,25,28.170411106254786
breast,theta,1,2,26,27.2134206536364
breast,theta,1,2,27,25.991804018437435
breast,theta,1,2,28,24.50375047369306
breast,theta,1,2,29,24.154097027356006
breast,theta,1,2,30,22.298245357414707
breast,theta,1,2,31,21.048622150940552
breast,theta,1,2,32,19.19977387869352
breast,theta,1,2,33,18.158010175614873
breast,theta,1,2,34,17.92865573493057
breast,theta,1,2,35,16.70157887373768
breast,theta,1,2,36,16.214436377501542
breast,theta,1,2,37,15.490001443008747
breast,theta,1,2,38,15.066840256320697
breast,theta,1,2,39,14.721341298614126
breast,theta,1,2,40,14.184775456683354
breast,phi,1,2,1,191.57703220655262
breast,phi,1,2,2,133.63423918308428
breast,phi,1,2,3,91.87494507229493
breast,phi,1,2,4,68.50840812548202
breast,phi,1,2,5,62.6157827190523
breast,phi,1,2,6,53.88240353900105
breast,phi,1,2,7,46.10443299961804
breast,phi,1,2,8,44.243078901859654
breast,phi,1,2,9,40.63653198642174
breast,phi,1,2,10,39.16874154054284
breast,phi,1,2,11,35.9457608822869
breast,phi,1,2,12,35.062028187171144
breast,phi,1,2,13,33.24873868720579
breast,phi,1,2,14,30.175856697037748
breast,phi,1,2,15,27.49087620621284
breast,theta,1,3,1,728.0482487445897
breast,theta,1,3,2,351.68584379248244
breast,theta,1,3,3,234.50186054444583
breast,theta,1,3,4,185.38258927364322
breast,theta,1,3,5,148.0080676077389
breast,theta,1,3,6,104.74705119017422
breast,theta,1,3,7,103.85933850477409
breast,theta,1,3,8,96.49668567370726
breast,theta,1,3,9,81.5408781853649
breast,theta,1,3,10,76.66294580796982
breast,theta,1,3,11,70.14228548161165
breast,theta,1,3,12,63.92041374440882
breast,theta,1,3,13,57.571085280162436
breast,theta,1,3,14,52.91527116315578
breast,theta,1,3,15,46.52846009979079
breast,theta,1,3,16,45.686258755885234
breast,theta,1,3,17,43.821869390048285
breast,theta,1,3,18,42.08724739281309
breast,theta,1,3,19,38.2414181585993
breast,theta,1,3,20,35.065415710532605
breast,theta,1,3,21,33.45160382880435
breast,theta,1,3,22,32.56339747595128
breast,theta,1,3,23,30.612956459860335
breast,theta,1,3,24,29.425256677909058
breast,theta,1,3,25,28.164404092360627
breast,theta,1,3,26,26.301167546373847
breast,theta,1,3,27,24.814633249698577
breast,theta,1,3,28,24.26991089386011
