noise,lr,weight_decay,seed,egr_early,egr_mid,egr_late,egr_min,egr_depth,final_test_acc,peak_test_acc,overfit_gap,final_train_loss,final_test_loss
0.15,0.003,0.001,46,0.2921922117326933,0.33713802474473364,0.30483376085384717,0.08376204340795651,0.20843016832473676,0.602996826171875,0.611541748046875,0.008544921875,0.4674930330365896,0.6616125464439392
0.15,0.003,0.001,47,0.29825962178120563,0.32676599606477374,0.3095382696023703,0.06819506009471916,0.23006456168648648,0.4799652099609375,0.49212646484375,0.0121612548828125,0.4663108326494694,0.7249506711959839
0.2,0.0003,0.0,42,0.497292582743136,0.3085094453333474,0.23931492305277122,0.1501986941189641,0.3470938886241719,0.6114837646484375,0.650360107421875,0.038876342773437544,0.4204028435051441,0.655222886800766
0.2,0.0003,0.0,43,0.4335166013122822,0.2598225700145201,0.20608870096206736,0.08974674398161861,0.34376985733066356,0.5324554443359375,0.657196044921875,0.1247406005859375,0.4194078668951988,0.7142633855342865
0.2,0.0003,0.0,44,0.5116532853146272,0.3039360514914816,0.23143341554750496,0.10036233013707843,0.41129095517754877,0.6201690673828125,0.65631103515625,0.03614196777343748,0.4139864183962345,0.6465476751327515
0.2,0.0003,0.0,45,0.4168925523249161,0.24572121513437833,0.1990978508909032,0.0654823750813553,0.35141017724356083,0.5691680908203125,0.5999755859375,0.0308074951171875,0.42312951385974884,0.6860078513622284
0.2,0.0003,0.0,46,0.48341774419628547,0.2974752662137893,0.22586913789222865,0.08286125619318235,0.4005564880031031,0.5532440185546875,0.57830810546875,0.025064086914062478,0.41870507411658764,0.6996705234050751
0.2,0.0003,0.0,47,0.4401451369944112,0.2617878457753495,0.2082077069017324,0.06769742408098199,0.3724477129134292,0.4846466064453125,0.488006591796875,0.003359985351562511,0.41843316704034805,0.755431616306305
0.2,0.0003,0.001,42,0.5719681351384319,0.3424791137810441,0.2895535804045492,0.1501986941189641,0.4217694410194678,0.6468414306640625,0.652191162109375,0.005349731445312478,0.46701779775321484,0.6325258493423462
0.2,0.0003,0.001,43,0.4889531793274932,0.3014484910137376,0.2844494642396582,0.08974674398161861,0.39920643534587463,0.54915771484375,0.65997314453125,0.11081542968750002,0.46531714126467705,0.6925383329391479
0.2,0.0003,0.001,44,0.5697689829344351,0.3283197626952511,0.2965172442659521,0.10036233013707843,0.4694066527973567,0.6647705078125,0.668182373046875,0.003411865234374978,0.46302767284214497,0.6181953191757202
0.2,0.0003,0.001,45,0.4705018140061317,0.3058215268373588,0.29256535613283696,0.0654823750813553,0.40501943892477643,0.612213134765625,0.615570068359375,0.00335693359375,0.466830488294363,0.6538633048534394
0.2,0.0003,0.001,46,0.5558609328535596,0.3522303693376736,0.3092519937390496,0.08286125619318235,0.4729996766603773,0.58309326171875,0.58551025390625,0.002416992187500022,0.46717529743909836,0.6727779984474183
0.2,0.0003,0.001,47,0.4958471566577446,0.31341653133967423,0.3015472113921646,0.06769742408098199,0.4281497325767626,0.47777099609375,0.479156494140625,0.001385498046874989,0.46647391282022,0.7351997077465058
0.2,0.001,0.0,42,0.31138271665846273,0.22834182752363003,0.1413478112010971,0.09988336224829973,0.211499354410163,0.5485504150390625,0.653839111328125,0.10528869628906246,0.2899443656206131,0.953896450996399
0.2,0.001,0.0,43,0.28450814747399306,0.1864154844174122,0.12383459653968583,0.08833218479801433,0.19617596267597873,0.516357421875,0.640533447265625,0.124176025390625,0.28842751309275627,1.0682147026062012
0.2,0.001,0.0,44,0.32613282218310763,0.21129139264652222,0.1328854666902232,0.09476861260352891,0.2313642095795787,0.5611572265625,0.65924072265625,0.09808349609375,0.28044626489281654,0.9506206095218659
0.2,0.001,0.0,45,0.2673698402220389,0.18553460595661525,0.12160173398124939,0.0654823750813553,0.20188746514068362,0.537200927734375,0.604278564453125,0.06707763671875,0.2927330508828163,1.0328408300876617
0.2,0.001,0.0,46,0.33197892160276726,0.2193486532819259,0.14322567197584757,0.08286125619318235,0.2491176654095849,0.5225738525390625,0.58258056640625,0.06000671386718748,0.28577671200037,1.0433449506759644
